tile_n16,tile_16,landuse
"Tile(tms_x=42028, tms_y=47119, zoom=16)",29563,n/a
"Tile(tms_x=60218, tms_y=46347, zoom=16)",38734,n/a
"Tile(tms_x=41721, tms_y=45063, zoom=16)",28015,construction
"Tile(tms_x=38206, tms_y=46464, zoom=16)",929,n/a
"Tile(tms_x=41682, tms_y=44069, zoom=16)",27619,residential
"Tile(tms_x=39961, tms_y=44195, zoom=16)",21272,residential
"Tile(tms_x=47842, tms_y=44811, zoom=16)",35260,residential
"Tile(tms_x=38635, tms_y=44107, zoom=16)",5343,residential
"Tile(tms_x=38254, tms_y=46344, zoom=16)",1315,garages
"Tile(tms_x=40224, tms_y=45442, zoom=16)",23785,residential
"Tile(tms_x=39634, tms_y=45004, zoom=16)",15349,industrial
"Tile(tms_x=38253, tms_y=46351, zoom=16)",1304,residential
"Tile(tms_x=40303, tms_y=45404, zoom=16)",24077,n/a
"Tile(tms_x=39531, tms_y=45124, zoom=16)",9065,grass
"Tile(tms_x=39878, tms_y=41733, zoom=16)",20407,residential
"Tile(tms_x=41272, tms_y=42636, zoom=16)",27057,industrial
"Tile(tms_x=40824, tms_y=42304, zoom=16)",25757,residential
"Tile(tms_x=39538, tms_y=45134, zoom=16)",9215,grass
"Tile(tms_x=37977, tms_y=46284, zoom=16)",528,grass
"Tile(tms_x=39615, tms_y=45307, zoom=16)",13928,residential
"Tile(tms_x=47887, tms_y=44727, zoom=16)",35940,grass
"Tile(tms_x=43955, tms_y=44865, zoom=16)",33304,residential
"Tile(tms_x=39581, tms_y=45094, zoom=16)",10695,residential
"Tile(tms_x=51678, tms_y=44044, zoom=16)",38025,forest
"Tile(tms_x=38694, tms_y=46558, zoom=16)",5424,garages
"Tile(tms_x=39998, tms_y=42547, zoom=16)",21947,construction
"Tile(tms_x=39541, tms_y=45117, zoom=16)",9267,residential
"Tile(tms_x=39705, tms_y=44231, zoom=16)",18279,n/a
"Tile(tms_x=43959, tms_y=44865, zoom=16)",33338,residential
"Tile(tms_x=39033, tms_y=44252, zoom=16)",6527,grass
"Tile(tms_x=39599, tms_y=44921, zoom=16)",12106,residential
"Tile(tms_x=42992, tms_y=45788, zoom=16)",30793,residential
"Tile(tms_x=39776, tms_y=44073, zoom=16)",19102,residential
"Tile(tms_x=39777, tms_y=44071, zoom=16)",19109,residential
"Tile(tms_x=37880, tms_y=46185, zoom=16)",412,residential
"Tile(tms_x=37881, tms_y=46187, zoom=16)",414,residential
"Tile(tms_x=40023, tms_y=45561, zoom=16)",22586,retail
"Tile(tms_x=48046, tms_y=44322, zoom=16)",36323,residential
"Tile(tms_x=39971, tms_y=44049, zoom=16)",21426,residential
"Tile(tms_x=39616, tms_y=45083, zoom=16)",14017,n/a
"Tile(tms_x=40105, tms_y=42886, zoom=16)",23322,residential
"Tile(tms_x=39682, tms_y=46192, zoom=16)",17809,grass
"Tile(tms_x=39681, tms_y=46191, zoom=16)",17781,grass
"Tile(tms_x=40129, tms_y=43360, zoom=16)",23443,n/a
"Tile(tms_x=48215, tms_y=45239, zoom=16)",36377,farmyard
"Tile(tms_x=39559, tms_y=41932, zoom=16)",9659,cemetery
"Tile(tms_x=39879, tms_y=41970, zoom=16)",20429,industrial
"Tile(tms_x=37791, tms_y=45739, zoom=16)",397,n/a
"Tile(tms_x=40764, tms_y=45455, zoom=16)",25296,residential
"Tile(tms_x=40108, tms_y=41615, zoom=16)",23331,n/a
"Tile(tms_x=39665, tms_y=45033, zoom=16)",17158,residential
"Tile(tms_x=41515, tms_y=42315, zoom=16)",27384,residential
"Tile(tms_x=43788, tms_y=45403, zoom=16)",31915,residential
"Tile(tms_x=47874, tms_y=44831, zoom=16)",35851,n/a
"Tile(tms_x=39347, tms_y=44190, zoom=16)",7425,residential
"Tile(tms_x=39878, tms_y=45414, zoom=16)",20422,reservoir
"Tile(tms_x=41136, tms_y=43763, zoom=16)",26749,garages
"Tile(tms_x=38596, tms_y=44735, zoom=16)",5150,residential
"Tile(tms_x=38914, tms_y=44060, zoom=16)",5857,n/a
"Tile(tms_x=39397, tms_y=44812, zoom=16)",7894,allotments
"Tile(tms_x=38340, tms_y=46413, zoom=16)",4639,residential
"Tile(tms_x=39434, tms_y=44836, zoom=16)",8244,retail
"Tile(tms_x=40733, tms_y=45218, zoom=16)",24941,n/a
"Tile(tms_x=36497, tms_y=44721, zoom=16)",138,recreation_ground
"Tile(tms_x=39955, tms_y=43595, zoom=16)",21209,garages
"Tile(tms_x=42052, tms_y=47136, zoom=16)",29591,n/a
"Tile(tms_x=39827, tms_y=45088, zoom=16)",19465,residential
"Tile(tms_x=39618, tms_y=45036, zoom=16)",14148,grass
"Tile(tms_x=39660, tms_y=43536, zoom=16)",16894,n/a
"Tile(tms_x=38580, tms_y=44047, zoom=16)",5114,retail
"Tile(tms_x=39971, tms_y=44067, zoom=16)",21430,residential
"Tile(tms_x=38982, tms_y=41823, zoom=16)",5994,n/a
"Tile(tms_x=39610, tms_y=44541, zoom=16)",13286,residential
"Tile(tms_x=39694, tms_y=45008, zoom=16)",18044,residential
"Tile(tms_x=39326, tms_y=44165, zoom=16)",7144,industrial
"Tile(tms_x=40903, tms_y=41463, zoom=16)",26171,forest
"Tile(tms_x=39594, tms_y=44500, zoom=16)",11584,residential
"Tile(tms_x=39746, tms_y=44842, zoom=16)",18834,allotments
"Tile(tms_x=39715, tms_y=44485, zoom=16)",18486,meadow
"Tile(tms_x=39867, tms_y=45070, zoom=16)",20173,residential
"Tile(tms_x=39283, tms_y=45409, zoom=16)",6910,residential
"Tile(tms_x=40812, tms_y=45177, zoom=16)",25726,grass
"Tile(tms_x=38458, tms_y=45976, zoom=16)",4978,retail
"Tile(tms_x=39496, tms_y=45187, zoom=16)",8716,residential
"Tile(tms_x=42470, tms_y=45418, zoom=16)",29960,residential
"Tile(tms_x=47851, tms_y=44805, zoom=16)",35322,grass
"Tile(tms_x=39669, tms_y=46193, zoom=16)",17360,grass
"Tile(tms_x=40915, tms_y=42968, zoom=16)",26200,retail
"Tile(tms_x=38795, tms_y=50316, zoom=16)",5550,grass
"Tile(tms_x=43412, tms_y=43665, zoom=16)",31335,residential
"Tile(tms_x=43799, tms_y=45408, zoom=16)",32220,grass
"Tile(tms_x=39965, tms_y=44067, zoom=16)",21333,residential
"Tile(tms_x=39668, tms_y=46177, zoom=16)",17301,grass
"Tile(tms_x=48449, tms_y=44908, zoom=16)",36825,n/a
"Tile(tms_x=39180, tms_y=44722, zoom=16)",6720,industrial
"Tile(tms_x=39038, tms_y=44250, zoom=16)",6559,residential
"Tile(tms_x=40007, tms_y=44689, zoom=16)",22244,grass
"Tile(tms_x=39613, tms_y=45016, zoom=16)",13667,grass
"Tile(tms_x=42960, tms_y=44723, zoom=16)",30442,garages
"Tile(tms_x=40157, tms_y=41931, zoom=16)",23581,grass
"Tile(tms_x=41900, tms_y=44245, zoom=16)",28913,greenfield
"Tile(tms_x=51715, tms_y=45319, zoom=16)",38064,residential
"Tile(tms_x=46130, tms_y=44804, zoom=16)",34680,garages
"Tile(tms_x=40218, tms_y=45469, zoom=16)",23751,residential
"Tile(tms_x=40855, tms_y=42922, zoom=16)",25799,garages
"Tile(tms_x=39677, tms_y=46198, zoom=16)",17651,grass
"Tile(tms_x=39541, tms_y=45127, zoom=16)",9272,residential
"Tile(tms_x=38349, tms_y=46502, zoom=16)",4731,industrial
"Tile(tms_x=41806, tms_y=45999, zoom=16)",28560,residential
"Tile(tms_x=40010, tms_y=42547, zoom=16)",22318,residential
"Tile(tms_x=40004, tms_y=44047, zoom=16)",22155,n/a
"Tile(tms_x=40865, tms_y=43740, zoom=16)",25887,n/a
"Tile(tms_x=41911, tms_y=44251, zoom=16)",29110,n/a
"Tile(tms_x=39779, tms_y=46226, zoom=16)",19125,residential
"Tile(tms_x=39365, tms_y=43814, zoom=16)",7625,residential
"Tile(tms_x=39668, tms_y=43687, zoom=16)",17270,grass
"Tile(tms_x=41144, tms_y=43749, zoom=16)",26842,residential
"Tile(tms_x=39346, tms_y=43789, zoom=16)",7384,grass
"Tile(tms_x=39308, tms_y=44746, zoom=16)",7047,n/a
"Tile(tms_x=39596, tms_y=45169, zoom=16)",11861,garages
"Tile(tms_x=39642, tms_y=45045, zoom=16)",15969,residential
"Tile(tms_x=39986, tms_y=42543, zoom=16)",21668,residential
"Tile(tms_x=39616, tms_y=44551, zoom=16)",13935,residential
"Tile(tms_x=39413, tms_y=44530, zoom=16)",8002,n/a
"Tile(tms_x=39820, tms_y=44896, zoom=16)",19374,residential
"Tile(tms_x=39968, tms_y=44070, zoom=16)",21390,residential
"Tile(tms_x=39788, tms_y=41921, zoom=16)",19160,n/a
"Tile(tms_x=38882, tms_y=46772, zoom=16)",5791,cemetery
"Tile(tms_x=39966, tms_y=44069, zoom=16)",21351,grass
"Tile(tms_x=40359, tms_y=45490, zoom=16)",24169,garages
"Tile(tms_x=41576, tms_y=44587, zoom=16)",27488,residential
"Tile(tms_x=41140, tms_y=43745, zoom=16)",26798,garages
"Tile(tms_x=43008, tms_y=45793, zoom=16)",30980,residential
"Tile(tms_x=40169, tms_y=45005, zoom=16)",23611,residential
"Tile(tms_x=46111, tms_y=44805, zoom=16)",34335,grass
"Tile(tms_x=40041, tms_y=44034, zoom=16)",22977,residential
"Tile(tms_x=39847, tms_y=42549, zoom=16)",19686,residential
"Tile(tms_x=40404, tms_y=41984, zoom=16)",24271,allotments
"Tile(tms_x=40232, tms_y=45707, zoom=16)",23898,residential
"Tile(tms_x=39609, tms_y=45131, zoom=16)",13280,residential
"Tile(tms_x=47930, tms_y=44689, zoom=16)",36125,residential
"Tile(tms_x=40446, tms_y=44910, zoom=16)",24425,residential
"Tile(tms_x=39957, tms_y=44058, zoom=16)",21218,industrial
"Tile(tms_x=49675, tms_y=45130, zoom=16)",37408,n/a
"Tile(tms_x=39639, tms_y=45016, zoom=16)",15718,grass
"Tile(tms_x=40292, tms_y=45407, zoom=16)",24048,residential
"Tile(tms_x=51679, tms_y=44041, zoom=16)",38028,grass
"Tile(tms_x=39999, tms_y=42551, zoom=16)",21994,residential
"Tile(tms_x=41737, tms_y=44351, zoom=16)",28207,residential
"Tile(tms_x=39708, tms_y=44999, zoom=16)",18341,residential
"Tile(tms_x=47869, tms_y=44796, zoom=16)",35710,n/a
"Tile(tms_x=39660, tms_y=45043, zoom=16)",16915,recreation_ground
"Tile(tms_x=40225, tms_y=41992, zoom=16)",23794,residential
"Tile(tms_x=41727, tms_y=45049, zoom=16)",28095,residential
"Tile(tms_x=47859, tms_y=44829, zoom=16)",35462,residential
"Tile(tms_x=39627, tms_y=45088, zoom=16)",14920,garages
"Tile(tms_x=39596, tms_y=45123, zoom=16)",11860,n/a
"Tile(tms_x=39026, tms_y=47170, zoom=16)",6453,residential
"Tile(tms_x=41704, tms_y=45076, zoom=16)",27732,residential
"Tile(tms_x=39674, tms_y=46188, zoom=16)",17555,n/a
"Tile(tms_x=39581, tms_y=45078, zoom=16)",10687,residential
"Tile(tms_x=38302, tms_y=46519, zoom=16)",3647,residential
"Tile(tms_x=38285, tms_y=46505, zoom=16)",2414,grass
"Tile(tms_x=39356, tms_y=45028, zoom=16)",7556,residential
"Tile(tms_x=39685, tms_y=46186, zoom=16)",17907,n/a
"Tile(tms_x=39630, tms_y=45088, zoom=16)",15104,grass
"Tile(tms_x=48235, tms_y=45283, zoom=16)",36469,residential
"Tile(tms_x=38275, tms_y=46505, zoom=16)",1857,grass
"Tile(tms_x=36507, tms_y=44714, zoom=16)",267,industrial
"Tile(tms_x=43804, tms_y=45422, zoom=16)",32437,industrial
"Tile(tms_x=49776, tms_y=45201, zoom=16)",37837,n/a
"Tile(tms_x=38269, tms_y=46452, zoom=16)",1596,residential
"Tile(tms_x=47891, tms_y=44726, zoom=16)",35978,residential
"Tile(tms_x=38298, tms_y=46476, zoom=16)",3355,industrial
"Tile(tms_x=43787, tms_y=45032, zoom=16)",31897,residential
"Tile(tms_x=39599, tms_y=45238, zoom=16)",12207,residential
"Tile(tms_x=39860, tms_y=41964, zoom=16)",19937,residential
"Tile(tms_x=40608, tms_y=41721, zoom=16)",24631,n/a
"Tile(tms_x=39634, tms_y=45015, zoom=16)",15356,grass
"Tile(tms_x=38287, tms_y=46502, zoom=16)",2570,grass
"Tile(tms_x=39609, tms_y=44544, zoom=16)",13179,residential
"Tile(tms_x=39634, tms_y=45044, zoom=16)",15374,n/a
"Tile(tms_x=39602, tms_y=45014, zoom=16)",12497,residential
"Tile(tms_x=39867, tms_y=41979, zoom=16)",20145,industrial
"Tile(tms_x=40123, tms_y=45174, zoom=16)",23419,grass
"Tile(tms_x=38342, tms_y=46406, zoom=16)",4660,n/a
"Tile(tms_x=38268, tms_y=46447, zoom=16)",1553,residential
"Tile(tms_x=38289, tms_y=46516, zoom=16)",2761,grass
"Tile(tms_x=38288, tms_y=46516, zoom=16)",2673,grass
"Tile(tms_x=42286, tms_y=45098, zoom=16)",29692,residential
"Tile(tms_x=38288, tms_y=46506, zoom=16)",2665,grass
"Tile(tms_x=39368, tms_y=44651, zoom=16)",7673,construction
"Tile(tms_x=39605, tms_y=45082, zoom=16)",12841,meadow
"Tile(tms_x=38280, tms_y=46467, zoom=16)",2102,grass
"Tile(tms_x=38336, tms_y=46413, zoom=16)",4605,residential
"Tile(tms_x=40756, tms_y=45236, zoom=16)",25202,residential
"Tile(tms_x=39670, tms_y=46181, zoom=16)",17394,grass
"Tile(tms_x=38278, tms_y=46462, zoom=16)",1992,grass
"Tile(tms_x=40118, tms_y=45167, zoom=16)",23391,grass
"Tile(tms_x=39611, tms_y=44941, zoom=16)",13407,residential
"Tile(tms_x=38253, tms_y=46344, zoom=16)",1298,residential
"Tile(tms_x=39905, tms_y=43794, zoom=16)",20861,grass
"Tile(tms_x=38595, tms_y=44737, zoom=16)",5139,residential
"Tile(tms_x=39859, tms_y=41971, zoom=16)",19912,residential
"Tile(tms_x=38604, tms_y=44737, zoom=16)",5254,grass
"Tile(tms_x=39501, tms_y=45005, zoom=16)",8777,commercial
"Tile(tms_x=38245, tms_y=46442, zoom=16)",1197,residential
"Tile(tms_x=40182, tms_y=41868, zoom=16)",23658,residential
"Tile(tms_x=39614, tms_y=45085, zoom=16)",13817,residential
"Tile(tms_x=38317, tms_y=46490, zoom=16)",4343,residential
"Tile(tms_x=46131, tms_y=46966, zoom=16)",34715,grass
"Tile(tms_x=41914, tms_y=44259, zoom=16)",29165,residential
"Tile(tms_x=39037, tms_y=44264, zoom=16)",6553,residential
"Tile(tms_x=39999, tms_y=42547, zoom=16)",21991,residential
"Tile(tms_x=39868, tms_y=41984, zoom=16)",20191,industrial
"Tile(tms_x=39593, tms_y=45089, zoom=16)",11555,residential
"Tile(tms_x=39981, tms_y=44058, zoom=16)",21592,n/a
"Tile(tms_x=39606, tms_y=44972, zoom=16)",12880,industrial
"Tile(tms_x=39683, tms_y=46186, zoom=16)",17837,forest
"Tile(tms_x=39604, tms_y=45085, zoom=16)",12741,construction
"Tile(tms_x=38275, tms_y=46470, zoom=16)",1836,industrial
"Tile(tms_x=39979, tms_y=43784, zoom=16)",21550,n/a
"Tile(tms_x=39643, tms_y=45071, zoom=16)",16046,grass
"Tile(tms_x=40129, tms_y=45263, zoom=16)",23446,residential
"Tile(tms_x=40962, tms_y=44249, zoom=16)",26360,commercial
"Tile(tms_x=36515, tms_y=44769, zoom=16)",311,industrial
"Tile(tms_x=46131, tms_y=47002, zoom=16)",34727,n/a
"Tile(tms_x=39137, tms_y=45468, zoom=16)",6683,industrial
"Tile(tms_x=40040, tms_y=41557, zoom=16)",22946,grass
"Tile(tms_x=38296, tms_y=46472, zoom=16)",3221,n/a
"Tile(tms_x=38334, tms_y=47234, zoom=16)",4590,n/a
"Tile(tms_x=38961, tms_y=41965, zoom=16)",5909,orchard
"Tile(tms_x=52345, tms_y=43837, zoom=16)",38358,allotments
"Tile(tms_x=40050, tms_y=41558, zoom=16)",23084,n/a
"Tile(tms_x=39645, tms_y=45040, zoom=16)",16167,residential
"Tile(tms_x=38323, tms_y=46431, zoom=16)",4478,residential
"Tile(tms_x=41706, tms_y=44999, zoom=16)",27749,allotments
"Tile(tms_x=39519, tms_y=44986, zoom=16)",8938,railway
"Tile(tms_x=49602, tms_y=45186, zoom=16)",37131,n/a
"Tile(tms_x=39580, tms_y=45042, zoom=16)",10614,residential
"Tile(tms_x=38998, tms_y=47330, zoom=16)",6043,n/a
"Tile(tms_x=38315, tms_y=46388, zoom=16)",4226,residential
"Tile(tms_x=40739, tms_y=45200, zoom=16)",24958,grass
"Tile(tms_x=43625, tms_y=44863, zoom=16)",31515,residential
"Tile(tms_x=46905, tms_y=46763, zoom=16)",35106,n/a
"Tile(tms_x=39617, tms_y=45027, zoom=16)",14064,n/a
"Tile(tms_x=39587, tms_y=45034, zoom=16)",11031,garages
"Tile(tms_x=43777, tms_y=45439, zoom=16)",31830,construction
"Tile(tms_x=38304, tms_y=46400, zoom=16)",3723,grass
"Tile(tms_x=38837, tms_y=45235, zoom=16)",5627,residential
"Tile(tms_x=48012, tms_y=44290, zoom=16)",36253,residential
"Tile(tms_x=42965, tms_y=45769, zoom=16)",30527,n/a
"Tile(tms_x=61651, tms_y=44198, zoom=16)",38758,retail
"Tile(tms_x=39639, tms_y=41889, zoom=16)",15688,n/a
"Tile(tms_x=39909, tms_y=43829, zoom=16)",20908,allotments
"Tile(tms_x=38300, tms_y=46479, zoom=16)",3490,commercial
"Tile(tms_x=42952, tms_y=44383, zoom=16)",30304,n/a
"Tile(tms_x=39656, tms_y=45106, zoom=16)",16709,residential
"Tile(tms_x=56780, tms_y=41494, zoom=16)",38487,n/a
"Tile(tms_x=46501, tms_y=47732, zoom=16)",35023,residential
"Tile(tms_x=40857, tms_y=42929, zoom=16)",25813,n/a
"Tile(tms_x=39654, tms_y=45112, zoom=16)",16618,garages
"Tile(tms_x=39570, tms_y=44923, zoom=16)",10062,n/a
"Tile(tms_x=48485, tms_y=44791, zoom=16)",36910,n/a
"Tile(tms_x=39645, tms_y=45047, zoom=16)",16170,residential
"Tile(tms_x=38300, tms_y=46510, zoom=16)",3511,residential
"Tile(tms_x=39530, tms_y=45001, zoom=16)",9038,allotments
"Tile(tms_x=39642, tms_y=45018, zoom=16)",15952,grass
"Tile(tms_x=43505, tms_y=44315, zoom=16)",31434,n/a
"Tile(tms_x=41752, tms_y=44353, zoom=16)",28317,n/a
"Tile(tms_x=41369, tms_y=45172, zoom=16)",27138,residential
"Tile(tms_x=41917, tms_y=45955, zoom=16)",29212,n/a
"Tile(tms_x=40040, tms_y=41576, zoom=16)",22947,n/a
"Tile(tms_x=39597, tms_y=45068, zoom=16)",11937,n/a
"Tile(tms_x=38458, tms_y=45982, zoom=16)",4982,commercial
"Tile(tms_x=38228, tms_y=45071, zoom=16)",1075,n/a
"Tile(tms_x=39862, tms_y=45068, zoom=16)",20022,residential
"Tile(tms_x=39591, tms_y=45092, zoom=16)",11364,garages
"Tile(tms_x=39579, tms_y=45014, zoom=16)",10532,residential
"Tile(tms_x=50021, tms_y=45151, zoom=16)",37890,n/a
"Tile(tms_x=41822, tms_y=44192, zoom=16)",28688,residential
"Tile(tms_x=39599, tms_y=45035, zoom=16)",12150,orchard
"Tile(tms_x=38309, tms_y=46481, zoom=16)",4014,grass
"Tile(tms_x=38840, tms_y=42012, zoom=16)",5638,orchard
"Tile(tms_x=38286, tms_y=46445, zoom=16)",2433,industrial
"Tile(tms_x=43997, tms_y=45740, zoom=16)",33446,garages
"Tile(tms_x=44708, tms_y=45496, zoom=16)",33863,grass
"Tile(tms_x=38226, tms_y=45636, zoom=16)",1068,n/a
"Tile(tms_x=39765, tms_y=45058, zoom=16)",18958,religious
"Tile(tms_x=39653, tms_y=45047, zoom=16)",16548,grass
"Tile(tms_x=39599, tms_y=45010, zoom=16)",12129,garages
"Tile(tms_x=38237, tms_y=46269, zoom=16)",1122,residential
"Tile(tms_x=39864, tms_y=41970, zoom=16)",20057,grass
"Tile(tms_x=39633, tms_y=45013, zoom=16)",15280,grass
"Tile(tms_x=39670, tms_y=45072, zoom=16)",17383,residential
"Tile(tms_x=48245, tms_y=43973, zoom=16)",36587,n/a
"Tile(tms_x=38610, tms_y=44756, zoom=16)",5294,n/a
"Tile(tms_x=39598, tms_y=44977, zoom=16)",11991,residential
"Tile(tms_x=38974, tms_y=41947, zoom=16)",5957,residential
"Tile(tms_x=43792, tms_y=45391, zoom=16)",31990,garages
"Tile(tms_x=39600, tms_y=45092, zoom=16)",12314,n/a
"Tile(tms_x=39966, tms_y=42207, zoom=16)",21344,n/a
"Tile(tms_x=48268, tms_y=44040, zoom=16)",36643,industrial
"Tile(tms_x=40005, tms_y=41611, zoom=16)",22165,n/a
"Tile(tms_x=40227, tms_y=45455, zoom=16)",23828,residential
"Tile(tms_x=39621, tms_y=45015, zoom=16)",14387,grass
"Tile(tms_x=38205, tms_y=46458, zoom=16)",924,meadow
"Tile(tms_x=39589, tms_y=45133, zoom=16)",11217,residential
"Tile(tms_x=39447, tms_y=44991, zoom=16)",8363,industrial
"Tile(tms_x=42982, tms_y=45809, zoom=16)",30711,railway
"Tile(tms_x=39637, tms_y=45023, zoom=16)",15576,n/a
"Tile(tms_x=39599, tms_y=45069, zoom=16)",12178,residential
"Tile(tms_x=39574, tms_y=41930, zoom=16)",10215,farmland
"Tile(tms_x=39563, tms_y=41936, zoom=16)",9800,n/a
"Tile(tms_x=43948, tms_y=44850, zoom=16)",33213,railway
"Tile(tms_x=39620, tms_y=45031, zoom=16)",14308,construction
"Tile(tms_x=39330, tms_y=44178, zoom=16)",7200,n/a
"Tile(tms_x=39903, tms_y=43807, zoom=16)",20830,n/a
"Tile(tms_x=41698, tms_y=45072, zoom=16)",27659,residential
"Tile(tms_x=39805, tms_y=44910, zoom=16)",19226,residential
"Tile(tms_x=39640, tms_y=45021, zoom=16)",15810,residential
"Tile(tms_x=48238, tms_y=45281, zoom=16)",36518,commercial
"Tile(tms_x=40870, tms_y=42946, zoom=16)",25954,military
"Tile(tms_x=38312, tms_y=46491, zoom=16)",4134,grass
"Tile(tms_x=39531, tms_y=45157, zoom=16)",9067,residential
"Tile(tms_x=39553, tms_y=45063, zoom=16)",9493,n/a
"Tile(tms_x=39672, tms_y=46195, zoom=16)",17486,grass
"Tile(tms_x=46139, tms_y=44777, zoom=16)",34865,garages
"Tile(tms_x=48656, tms_y=44416, zoom=16)",36981,allotments
"Tile(tms_x=39591, tms_y=45051, zoom=16)",11335,industrial
"Tile(tms_x=39382, tms_y=43803, zoom=16)",7849,grass
"Tile(tms_x=39630, tms_y=45048, zoom=16)",15085,n/a
"Tile(tms_x=42972, tms_y=44732, zoom=16)",30612,n/a
"Tile(tms_x=46867, tms_y=47306, zoom=16)",35102,residential
"Tile(tms_x=38827, tms_y=44779, zoom=16)",5611,n/a
"Tile(tms_x=43801, tms_y=45395, zoom=16)",32294,garages
"Tile(tms_x=45980, tms_y=46918, zoom=16)",34182,n/a
"Tile(tms_x=40145, tms_y=48281, zoom=16)",23518,grass
"Tile(tms_x=39576, tms_y=45049, zoom=16)",10349,grass
"Tile(tms_x=39668, tms_y=44995, zoom=16)",17281,residential
"Tile(tms_x=40620, tms_y=41755, zoom=16)",24666,grass
"Tile(tms_x=39334, tms_y=43783, zoom=16)",7258,allotments
"Tile(tms_x=38352, tms_y=46348, zoom=16)",4741,industrial
"Tile(tms_x=39663, tms_y=45028, zoom=16)",17069,industrial
"Tile(tms_x=39604, tms_y=45074, zoom=16)",12734,grass
"Tile(tms_x=39664, tms_y=45047, zoom=16)",17115,retail
"Tile(tms_x=39564, tms_y=45087, zoom=16)",9858,construction
"Tile(tms_x=39866, tms_y=41941, zoom=16)",20103,forest
"Tile(tms_x=40254, tms_y=41960, zoom=16)",23983,industrial
"Tile(tms_x=46127, tms_y=44794, zoom=16)",34599,n/a
"Tile(tms_x=40782, tms_y=45233, zoom=16)",25574,residential
"Tile(tms_x=43196, tms_y=44803, zoom=16)",31268,residential
"Tile(tms_x=56385, tms_y=47267, zoom=16)",38450,grass
"Tile(tms_x=39591, tms_y=45007, zoom=16)",11305,residential
"Tile(tms_x=43001, tms_y=45789, zoom=16)",30884,residential
"Tile(tms_x=38300, tms_y=46491, zoom=16)",3496,industrial
"Tile(tms_x=48003, tms_y=44286, zoom=16)",36219,allotments
"Tile(tms_x=40182, tms_y=41916, zoom=16)",23661,n/a
"Tile(tms_x=39900, tms_y=43802, zoom=16)",20753,construction
"Tile(tms_x=41902, tms_y=46049, zoom=16)",28958,residential
"Tile(tms_x=38459, tms_y=45986, zoom=16)",4989,industrial
"Tile(tms_x=41137, tms_y=43760, zoom=16)",26761,residential
"Tile(tms_x=46129, tms_y=44797, zoom=16)",34657,n/a
"Tile(tms_x=39661, tms_y=45134, zoom=16)",16998,residential
"Tile(tms_x=42006, tms_y=47175, zoom=16)",29389,n/a
"Tile(tms_x=43505, tms_y=44310, zoom=16)",31432,residential
"Tile(tms_x=41888, tms_y=44243, zoom=16)",28803,residential
"Tile(tms_x=41380, tms_y=45142, zoom=16)",27194,n/a
"Tile(tms_x=41561, tms_y=45900, zoom=16)",27444,residential
"Tile(tms_x=43952, tms_y=44857, zoom=16)",33264,railway
"Tile(tms_x=43929, tms_y=44866, zoom=16)",32945,allotments
"Tile(tms_x=46134, tms_y=44805, zoom=16)",34787,residential
"Tile(tms_x=39654, tms_y=45047, zoom=16)",16597,grass
"Tile(tms_x=48447, tms_y=44931, zoom=16)",36810,forest
"Tile(tms_x=39973, tms_y=42079, zoom=16)",21450,farmland
"Tile(tms_x=39615, tms_y=44754, zoom=16)",13848,grass
"Tile(tms_x=40410, tms_y=41971, zoom=16)",24303,residential
"Tile(tms_x=43628, tms_y=45682, zoom=16)",31523,grass
"Tile(tms_x=38296, tms_y=46445, zoom=16)",3208,retail
"Tile(tms_x=47861, tms_y=44805, zoom=16)",35512,residential
"Tile(tms_x=39861, tms_y=41973, zoom=16)",19973,military
"Tile(tms_x=47840, tms_y=44803, zoom=16)",35251,n/a
"Tile(tms_x=39605, tms_y=44970, zoom=16)",12776,garages
"Tile(tms_x=42024, tms_y=47125, zoom=16)",29550,n/a
"Tile(tms_x=41278, tms_y=43805, zoom=16)",27062,residential
"Tile(tms_x=46127, tms_y=44798, zoom=16)",34603,n/a
"Tile(tms_x=38818, tms_y=49046, zoom=16)",5586,n/a
"Tile(tms_x=39692, tms_y=45114, zoom=16)",18022,n/a
"Tile(tms_x=38322, tms_y=46429, zoom=16)",4449,residential
"Tile(tms_x=39856, tms_y=42119, zoom=16)",19865,n/a
"Tile(tms_x=38316, tms_y=46473, zoom=16)",4295,residential
"Tile(tms_x=39447, tms_y=44961, zoom=16)",8356,n/a
"Tile(tms_x=46115, tms_y=44821, zoom=16)",34410,construction
"Tile(tms_x=39882, tms_y=41731, zoom=16)",20469,commercial
"Tile(tms_x=42771, tms_y=45220, zoom=16)",30079,n/a
"Tile(tms_x=41718, tms_y=45061, zoom=16)",27971,recreation_ground
"Tile(tms_x=39590, tms_y=45054, zoom=16)",11255,grass
"Tile(tms_x=44706, tms_y=45503, zoom=16)",33835,grass
"Tile(tms_x=49679, tms_y=45138, zoom=16)",37470,n/a
"Tile(tms_x=49669, tms_y=45141, zoom=16)",37337,n/a
"Tile(tms_x=43944, tms_y=44858, zoom=16)",33146,grass
"Tile(tms_x=46106, tms_y=44817, zoom=16)",34286,grass
"Tile(tms_x=38273, tms_y=46516, zoom=16)",1766,construction
"Tile(tms_x=41409, tms_y=41451, zoom=16)",27222,industrial
"Tile(tms_x=38307, tms_y=46479, zoom=16)",3926,residential
"Tile(tms_x=38290, tms_y=46518, zoom=16)",2836,grass
